"","ブラウザ - 打鍵回数","メール - 打鍵回数","ファイル操作 - 打鍵回数","調査　 - 打鍵回数","ＳＱＬサーバ　 - 打鍵回数","エクセル - 打鍵回数","ワード・パワポ - 打鍵回数","文書閲覧　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月07日22時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日22時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日22時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日22時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日23時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日23時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日23時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日23時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日23時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日23時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日23時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日23時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日23時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日23時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日23時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日23時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日00時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日00時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日00時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日00時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日00時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日00時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日00時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日00時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日00時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日00時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日00時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日00時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日01時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日01時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日01時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日01時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日01時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日01時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日01時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日01時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日01時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日01時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日01時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日01時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日02時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日03時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日04時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日05時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日06時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日06時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日06時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日06時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日06時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日06時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日06時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日06時35分","0","0","0","0","0","0","0","0","0","0","0"
