Task name,start time,end time,left click,right click,keystroke
others,20130204:112209,20130204:112221,0,0,0
Excel,20130204:112221,20130204:112506,0,0,196
Excel,20130204:112506,20130204:112615,0,0,97
browsing,20130204:112615,20130204:112617,0,0,0
Excel,20130204:112617,20130204:112630,0,0,4
browsing,20130204:112630,20130204:112634,0,0,0
browsing,20130204:112634,20130204:112638,0,0,0
browsing,20130204:112638,20130204:112646,0,0,1
browsing,20130204:112646,20130204:112647,0,0,0
browsing,20130204:112647,20130204:112702,0,0,0
browsing,20130204:112702,20130204:112710,0,0,0
email,20130204:112710,20130204:112716,0,0,0
browsing,20130204:112716,20130204:112724,0,0,0
browsing,20130204:112724,20130204:112739,0,0,1
Excel,20130204:112739,20130204:112749,0,0,0
file operation,20130204:112749,20130204:112818,0,0,0
Excel,20130204:112818,20130204:112849,0,0,14
Excel,20130204:112849,20130204:112850,0,0,0
Excel,20130204:112850,20130204:112852,0,0,0
browsing,20130204:112852,20130204:112854,0,0,0
browsing,20130204:112854,20130204:112855,0,0,0
browsing,20130204:112855,20130204:112856,0,0,0
browsing,20130204:112856,20130204:112859,0,0,0
file operation,20130204:112859,20130204:112900,0,0,0
browsing,20130204:112900,20130204:112901,0,0,0
Excel,20130204:112901,20130204:112903,0,0,2
file operation,20130204:112903,20130204:112906,0,0,0
Excel,20130204:112906,20130204:112907,0,0,0
Excel,20130204:112907,20130204:112943,0,0,9
others,20130204:112944,20130204:112946,0,0,0
others,20130204:112946,20130204:112948,0,0,0
others,20130204:112948,20130204:112951,0,0,0
others,20130204:112951,20130204:112958,0,0,0
others,20130204:112958,20130204:113000,0,0,0
others,20130204:113000,20130204:113006,0,0,0
others,20130204:113006,20130204:113032,0,0,0
others,20130204:113032,20130204:113033,0,0,0
others,20130204:113033,20130204:113042,0,0,0
others,20130204:113042,20130204:113044,0,0,0
others,20130204:113044,20130204:113048,0,0,0
Excel,20130204:113048,20130204:113145,0,0,0
browsing,20130204:113145,20130204:113149,0,0,0
Excel,20130204:113149,20130204:113217,0,0,0
Excel,20130204:113302,20130204:113310,0,0,5
browsing,20130204:113310,20130204:113415,0,0,113
Excel,20130204:113415,20130204:113437,0,0,0
browsing,20130204:113437,20130204:113443,0,0,1
Excel,20130204:113443,20130204:113444,0,0,0
Excel,20130204:113444,20130204:113447,0,0,0
Excel,20130204:113447,20130204:113450,0,0,0
browsing,20130204:113450,20130204:113451,0,0,0
browsing,20130204:113451,20130204:113453,0,0,1
Excel,20130204:113453,20130204:113454,0,0,0
browsing,20130204:113454,20130204:113500,0,0,0
others,20130204:113500,20130204:113505,0,0,0
