"","ブラウザ - 打鍵回数","メール - 打鍵回数","ファイル操作 - 打鍵回数","調査　 - 打鍵回数","ＳＱＬサーバ　 - 打鍵回数","エクセル - 打鍵回数","ワード・パワポ - 打鍵回数","文書閲覧　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月07日19時20分","0","0","10","0","0","0","0","0","0","1","0"
"2013年02月07日19時25分","0","0","6","0","0","0","0","0","48","9","0"
"2013年02月07日19時30分","0","0","3","0","0","0","0","0","57","56","0"
"2013年02月07日19時35分","0","0","0","12","0","0","0","0","40","21","0"
"2013年02月07日19時40分","0","0","3","20","0","0","0","0","0","120","0"
"2013年02月07日19時45分","0","0","35","0","0","0","0","0","34","105","0"
"2013年02月07日19時50分","0","3","57","0","0","0","0","0","0","11","6"
"2013年02月07日19時55分","4","23","0","0","0","0","0","0","0","3","32"
"2013年02月07日20時00分","3","0","19","0","0","0","0","0","8","0","0"
"2013年02月07日20時05分","7","0","0","0","0","241","0","0","21","0","0"
"2013年02月07日20時10分","208","0","0","0","0","65","0","0","8","32","1"
"2013年02月07日20時15分","0","0","0","0","0","0","0","0","0","178","0"
"2013年02月07日20時20分","0","0","1","0","0","0","0","0","0","60","0"
"2013年02月07日20時25分","0","0","0","2","0","0","0","0","18","37","0"
"2013年02月07日20時30分","108","0","5","0","25","0","0","0","0","0","16"
"2013年02月07日20時35分","301","0","1","0","3","0","0","0","6","0","0"
"2013年02月07日20時40分","0","36","1","0","0","0","0","0","0","3","9"
"2013年02月07日20時45分","0","0","0","125","0","0","0","0","0","113","0"
"2013年02月07日20時50分","0","0","0","0","0","0","0","0","0","118","0"
"2013年02月07日20時55分","0","0","0","0","0","0","0","0","0","407","0"
"2013年02月07日21時00分","0","0","17","4","9","1","0","0","1","3","0"
"2013年02月07日21時05分","0","0","0","0","12","0","0","0","0","135","0"
"2013年02月07日21時10分","0","0","0","0","0","0","0","0","0","200","0"
"2013年02月07日21時15分","0","1","0","0","0","0","0","0","0","198","0"
"2013年02月07日21時20分","0","0","0","0","0","0","0","0","14","84","0"
"2013年02月07日21時25分","1","1","0","0","0","0","0","0","1","21","0"
"2013年02月07日21時30分","0","0","0","0","0","0","0","0","0","110","6"
"2013年02月07日21時35分","0","0","0","0","0","0","0","0","9","14","0"
"2013年02月07日21時40分","0","0","0","0","0","0","0","0","0","100","0"
"2013年02月07日21時45分","15","0","0","50","0","0","0","0","0","35","0"
"2013年02月07日21時50分","0","0","34","1","3","0","0","0","1","26","1"
"2013年02月07日21時55分","0","0","2","0","1","0","0","0","0","40","0"
"2013年02月07日22時00分","0","0","10","13","0","0","0","0","0","25","0"
"2013年02月07日22時05分","0","0","2","0","0","0","0","0","2","0","0"
"2013年02月07日22時10分","1","0","0","0","1","0","0","0","0","4","0"
"2013年02月07日22時15分","2","0","0","0","36","0","0","0","5","0","0"
"2013年02月07日22時20分","41","0","4","0","57","0","0","0","37","0","0"
"2013年02月07日22時25分","61","2","0","0","0","0","0","0","49","0","0"
"2013年02月07日22時30分","0","0","0","0","0","0","0","0","0","89","0"
"2013年02月07日22時35分","17","0","0","0","0","0","0","0","0","37","0"
"2013年02月07日22時40分","0","1","0","0","0","0","0","0","0","1","0"
"2013年02月07日22時45分","0","0","0","0","0","0","0","0","0","0","4"
"2013年02月07日22時50分","0","2","0","0","0","0","0","0","0","0","0"
"2013年02月07日22時55分","0","0","0","0","0","0","0","0","0","98","0"
"2013年02月07日23時00分","0","0","13","0","1","0","0","0","0","105","0"
"2013年02月07日23時05分","0","0","9","0","25","0","0","0","4","134","0"
"2013年02月07日23時10分","0","0","0","0","3","0","0","0","0","5","0"
"2013年02月07日23時15分","0","0","0","0","0","0","0","0","0","31","0"
"2013年02月08日09時05分","2","2","44","0","0","0","0","0","37","0","0"
"2013年02月08日09時10分","0","4","5","0","0","0","0","0","9","58","1"
"2013年02月08日09時15分","0","0","2","0","0","0","0","0","0","289","0"
"2013年02月08日09時20分","0","0","0","0","0","0","0","0","0","185","0"
"2013年02月08日09時25分","0","0","0","0","0","0","0","0","0","141","0"
"2013年02月08日09時30分","0","0","0","0","0","0","0","0","0","177","0"
"2013年02月08日09時35分","0","0","0","0","0","0","0","0","0","120","0"
"2013年02月08日09時40分","0","0","0","0","0","0","0","0","48","31","0"
"2013年02月08日09時45分","0","257","21","13","0","0","0","0","2","2","0"
"2013年02月08日09時50分","0","17","50","0","0","0","0","0","18","0","0"
"2013年02月08日09時55分","0","0","51","0","0","0","0","0","40","50","0"
"2013年02月08日10時00分","0","0","26","0","0","0","0","0","1","117","2"
"2013年02月08日10時05分","0","0","18","1","0","0","0","0","0","56","0"
"2013年02月08日10時10分","0","0","0","0","11","0","0","0","1","224","7"
"2013年02月08日10時15分","0","0","2","0","138","0","0","0","3","4","2"
"2013年02月08日10時20分","0","0","2","0","24","0","0","0","3","0","0"
"2013年02月08日10時25分","0","0","23","0","18","0","0","0","0","0","0"
"2013年02月08日10時30分","0","0","28","0","0","0","0","0","2","0","36"
"2013年02月08日10時35分","0","0","2","6","50","0","0","0","1","0","10"
